name,contact_information,location,type,outreach_type,responsible,current_status,first_outreach,follow_up,meeting,type_of_donation,recived,note,nan,nan,email_types,language,email_sample,is_contacted,has_contact_info,is_english,is_ideal_candidate
Action for Nature Youth Eco-Hero Award,Website,Great Britain,small grants,Type 7: Grant,Niclas K.,first outreach,2025-07-11,,,Financial,,Only for people under 16...,,,,,,True,True,False,False
AIMI Kids,partnership@amikids.org.,USA,Non profit,Type 2: material donation,TBD PA,first outreach,2025-07-21,,,Material/Financial,,,,,Werft 1,English,see here,True,True,True,True
Airbnb,contact.press@airbnb.com,Usa,for profit,Type 3: financial donation,TBD,,,,,,,,,,Mat 2,English,see here,False,True,True,False
Aldi Süd - Regionalgesellschaft Mühldorf/Karlsdorf,,Germany,for profit,Type 6: Finanzielle Spende ,TBD,,,,,,,,,,finance 3,English,see here,False,False,True,False
Allbirds (shoes),,Usa,for profit,Type 3: financial donation,TBD,,,,,,,,,,Werft 1,German,see here,False,False,False,False
Allgäuer Überlandwerk,Daniel.Flasche@auew.de,Germany,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,2025-07-21,21.07.2025,No,Financial,No,Only focus on their local network,,,Mat 2,German,see here,True,True,False,False
Anant Ambani,not listed,India,private person,Type 6: Finanzielle Spende ,TBD,,,,,,,,,,Finance 3,German,see here,False,True,False,False
Andritz Hydro AG,welcome@andritz.com,Austria,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,2025-07-21,,,,,,,,7,Depending,not available,True,True,False,False
Apple Deutschland ,hanover.reception@euro.apple.com,Germany,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,2025-07-21,,,,,,,,,,,True,True,False,False
Athletic Greens,support@athleticgreens.com,Usa,for profit,Type 3: financial donation,Robin E.,response,2025-07-23,,no,Financial,No,not suited,,,,,,False,True,False,False
Atlas VPN,support@atlasvpn.com,Usa,for profit,Type 3: financial donation,Robin E.,first outreach,2025-07-23,,,Financial,,,,,,,,True,True,False,False
Audi Umweltstiftung GmbH,info@audi-stiftung-fuer-umwelt.de,Germany,for profit,Type 6: Finanzielle Spende ,Robin E.,first outreach,2025-07-23,,,Financial,,,,,,,,True,True,False,False
AW Niemeyer (A.W.N.),service@awn.de,Germany,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,2025-07-21,,,Material/Financial,,,,,,,,True,True,False,False
AWS by Amazon,"https://aws.amazon.com/government-education/nonprofits/
",Usa,small grants,Type 7: Grant,,,,,,,,2000 usd credit for cloud hosting,,,,,,False,True,False,False
B-Win,complaints@bwin.com,Austria,for profit,Type 6: Finanzielle Spende ,TBD,,,,,,,,,,,,,False,True,False,False
Bavaria Yachts,info@bavariayachts.com / m.schlichting@bavariayachts.com ,Germany,for profit,Type 6: Finanzielle Spende ,Robin E.,response,2025-07-11,17.07.2025,yes,Material/Financial,No,"Spare Parts for buying price, Help with search for Boat",,,,,,False,True,False,True
Beneteau,presse@beneteau-group.com,France,for profit,Type 3: financial donation,Robin E.,first outreach,2025-07-11,,,Material/Financial,,,,,,,,True,True,False,False
Benevity ,help@benevity.com,Canada,for profit,Type 3: financial donation,Niclas K.,,,,,,,,,,,,,False,True,False,False
Bewegungsstiftung,info@bewegungsstiftung.de,Germany,Non profit,Type 6: Finanzielle Spende ,,,,,,,,,,,,,,False,True,False,False
Biohof Braun,karl.hoefer@gmx.at,Austria,for profit,Type 6: Finanzielle Spende ,Robin E.,first outreach,2025-07-23,,,,,,,,,,,True,True,False,False
Blue Action Fund,info@blueactionfund.org,Germany,Non profit,Type 7: Grant,Niclas K.,,,,,,,,,,,,,False,True,False,False
Blum Novo Test GmbH,info@blum‑novotest.com,Germany,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,2025-07-21,,,,,,,,,,,True,True,False,False
BMW Foundation,info@bmw-foundation.org,Germany,Non profit,Type 6: Finanzielle Spende ,Robin E.,first outreach,2025-07-11,,,Financial,,,,,,,,True,True,False,True
Boat 24 ,support@boat24.com,Germany,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,2025-07-21,,,,,,,,,,,True,True,False,False
Bodan Ökofrisch GmbH,info@bodan.de,Germany,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,2025-07-21,,,,,,,,,,,True,True,False,False
Bodensee Schifffahrt BSB, info@bsb.de,Germany,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,2025-07-21,,,,,,,,,,,True,True,False,False
Booking.com ,glenn.fogel@booking.com  (CEO),Usa,for profit,Type 3: financial donation,Robin E.,first outreach,2025-07-23,,,,,,,,,,,True,True,False,False
Boot Düsseldorf,info@messe‑duesseldorf.de,Germany,for profit,Type 6: Finanzielle Spende ,TBD,,,,,,,,,,,,,False,True,False,False
Boots Center Konstanz ,sina.degen@bootcenter.com (CEO),Germany,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,2025-07-21,,,,,,,,,,,True,True,False,False
Bootsschule 1,info@bootsschule1.de,Germany,for profit,Type 6: Finanzielle Spende ,Niclas K.,,,,,,,,,,,,,False,True,False,False
Bosch foundation,presse@bosch-stiftung.de,Germany,Non profit,Type 6: Finanzielle Spende ,TBD,,,,,,,,,,,,,False,True,False,False
Breitling,contact@breitling.com,Switzerland,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,2025-07-21,,,,,,,,,,,True,True,False,False
BUND ,bund@bund.net,Germany,Non profit,Type 6: Finanzielle Spende ,TBD,,,,,,,,,,,,,False,True,False,False
Canva for Non Profits,Webform https://www.canva.com/canva-for-nonprofits/,Usa,for profit,Type 2: material donation,,,,,,,,,,,,,,False,True,False,False
CHG ,info@chg‑meridian.com,Germany,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,2025-07-21,,,,,,,,,,,True,True,False,False
CHT Germany GmbH,annegret.vester@cht.com (Chief Sustainability Officer),Germany,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,2025-07-21,,,,,,,,,,,True,True,False,False
Coca Cola ,asktheboard@coca-cola.com,Usa,for profit,Type 3: financial donation,,,,,,,,,,,,,,False,True,False,False
Commerzbank Stiftung,info@commerzbank.com,Germany,for profit,Type 6: Finanzielle Spende ,TBD,,,,,,,,,,,,,False,True,False,False
Cosas de Barcos,info@cosasdebarcos.com,Spain,for profit,Type 3: financial donation,TBD,,,,,,,,,,,,,False,True,False,False
Cyber Ghost,office@cyberghost.ro,Romania,for profit,Type 3: financial donation,TBD,,,,,,,,,,,,,False,True,False,False
Dafour Yachts,Laurent.fabre@dufour-yachts.com,Fance,for profit,Type 3: financial donation,TBD,,,,,,,,,,,,,False,True,False,False
Danone,danone.com/contact.,France,for profit,Type 3: financial donation,TBD,,,,,,,,,,,,,False,True,False,False
Decathlon,contacts@decathlon.com,France,for profit,Type 3: financial donation,TBD,,,,,,,,,,,,,False,True,False,False
Deutsche Bank ,deutsche.bank@db.com,Germany,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,2025-07-21,22.07.2025,no,Financial,No,only fund their own initiatives,,,,,,True,True,False,False
Deutsche Postcode Lotterie,presse@postcode-lotterie.de,Germany,for profit,Type 6: Finanzielle Spende ,TBD,,,,,Financial,,,,,,,,False,True,False,False
Deutsche Stiftung Umwelt (DBU),info@dbu.de,Germany,Non profit,Type 6: Finanzielle Spende ,TBD,,,,,,,,,,,,,False,True,False,False
Deutsche Umwelthilfe (DUH),info@duh.de,Germany,Non profit,Type 6: Finanzielle Spende ,TBD,,,,,,,,,,,,,False,True,False,False
Deutscher Segler Verband,Nicole Buck/info@dsv.org,Germany,Non profit,Type 6: Finanzielle Spende ,Niclas K.,,,,,,,Personal contact,,,,,,False,True,False,False
Diehl Aerospace ,marketing@diehl‑aerospace.de,Germany,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,2025-07-21,22.07.2025,,Financial,No,"Already decided on their funded projects, but in talks about 2026",,,,,,True,True,False,False
DJI Deutschland ,pr@dji.com,Germany,for profit,Type 5: Materielle Spende,Niclas K.,first outreach,2025-07-22,,,,,,,,,,,True,True,False,False
DZ Bank Gruppe,mail@dzbank.de,Germany,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,2025-07-23,,,,,,,,,,,True,True,False,False
Earth Rising Foundation,info@earthrisingfoundation.org,Germany,small grants,Type 7: Grant,Niclas K.,,,,,Financial,,Starting October 1. Applications ,,,,,,False,True,False,False
Earth Shot Prize ,nominations@tep.earthshotprize.org,Germany,small grants,Type 7: Grant,TBD PA,,,,,Financial,,Apply for nomination next year. 2026 (1mil price money),,,,,,False,True,False,False
EBZ Gruppe,thomas.bausch@ebz-group.com (CEO),Germany,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,2025-07-23,,,,,,,,,,,True,True,False,False
Ecover,hello@uk.ecover.com,Great Britain,for profit,Type 3: financial donation,Robin E.,first outreach,2025-07-23,,,,,,,,,,,True,True,False,False
EIB,Infodesk@eib.org ,Luxembourg,for profit,Type 3: financial donation,Robin E.,first outreach,2025-07-23,,,,,,,,,,,True,True,False,False
EMB-Papst,info1@de.ebmpapst.com,Germany,for profit,Type 6: Finanzielle Spende ,,,,,,,,,,,,,,False,True,False,False
Ethik Bank,hallo@ethikbank.de,Germany,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,2025-07-23,,,,,,,,,,,True,True,False,False
European Climate Foundation,Not possible / partners have to be contacted,,Non profit,Type 7: Grant,,,,,,,,,,,,,,False,True,False,False
Express VPN,        support@expressvpn.com,British Virgin Islands,for profit,Type 6: Finanzielle Spende ,Robin E.,first outreach,2025-07-23,,,,,,,,,,,True,True,False,False
Fjord Yachts ,guido@fjordyachts.de & oliver@fjordyachts.de (CEO),Germany,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,2025-07-23,,,,,,,,,,,True,True,False,False
Flix SE (Flixbus/Flixtrain),globalpress@flixbus.com,Germany,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,2025-07-23,,,,,,,,,,,True,True,False,False
Fondation Ensemble,Webform,France,Non profit,Type 3: financial donation,,,,,,,,,,,,,,False,True,False,False
Frosch GmbH (Werner & Mertz),markefrosch@werner-mertz.com ,Germany,for profit,Type 6: Finanzielle Spende ,Niclas K.,first outreach,2025-07-23,,,,,,,,,,,True,True,False,False
Git Hub Pro for NGOs,Webform https://socialimpact.github.com,Usa,small grants,Type 2: material donation,Niclas K.,first outreach,2025-07-22,,,,,,,,,,,True,True,False,False
Global Greengrants Fund,Contact form on website,Great Britain ,small grants,Type 7: Grant,Niclas K.,response,2025-07-12,"Yes, but not possible",,Financial,No,Recomended other funding possibilities: http://url6352.greengrants.org/ls/click?upn=u001.fMxWc8SgCaBCB6sLRY7yzNrKz0HgRiGGWbz8GWL3Q5-2FFJlKClsnyGT7uqdzrV3ctzfj1e4tly1hK-2FAjlCLdG5BfTiwLjylvbDkxVlUKxJ22lVTn7VqH8BdFZPdSC4RDGEGCb_9L0ArMfC9BNsxMvRipvtYWpMJFYQJofZuibEKhGHfuUCpVzbcblZ0D9AJXE19HuYomKpmAeckTdgAjdOV0vd1KYi390s8OKTeZK4URB6nxA533zSc2G-2FP-2BeWFmQaM3-2BYRganxYBUWH2Auz-2FlaPEhK9RKorfWR1IuaVHqMHLuoTGBa5jOQwXLI3xDsa0M0l-2FWh-2BF6bRvyPEomx5zlNzKeDw-3D-3D,,,,,,False,True,False,False
Go Pro,support@gopro.com,Usa,for profit,Type 2: material donation,,,,,,,,,,,,,,False,True,False,False
Google,press@google.com,Usa,for profit,Type 3: financial donation,Niclas K.,first outreach,2025-07-22,,,,,,,,,,,True,True,False,False
Google Ad Grants,Registration,Usa,small grants,Type 7: Grant,Niclas K.,first outreach,2025-07-22,,,,,,,,,,,True,True,False,False
Green line Yachts,info@svpyachts.com,Slovenia,for profit,Type 3: financial donation,,,,,,,,,,,,,,False,True,False,False
