name,contact_information,location,type,outreach_type,responsible,current_status,first_outreach,follow_up,meeting,type_of_donation,recived,note,email_types,language,email_sample,is_contacted,has_contact_info,is_english,is_ideal_candidate
Action for Nature Youth Eco-Hero Award,Website,great britain,small grants,type 7: grant,Niclas K.,first outreach,2025-07-11,,,Financial,,Only for people under 16...,,,,True,True,False,False
AIMI Kids,partnership@amikids.org.,usa,non profit,type 2: material donation,TBD PA,first outreach,2025-07-21,,,Material/Financial,,,Werft 1,English,see here,True,True,True,False
Airbnb,contact.press@airbnb.com,usa,for profit,type 3: financial donation,TBD,,,,,,,,Mat 2,English,see here,False,True,True,False
Aldi Süd - Regionalgesellschaft Mühldorf/Karlsdorf,,germany,for profit,type 6: finanzielle spende,TBD,,,,,,,,finance 3,English,see here,False,False,True,False
Allbirds (shoes),,usa,for profit,type 3: financial donation,TBD,,,,,,,,Werft 1,German,see here,False,False,False,False
Allgäuer Überlandwerk,Daniel.Flasche@auew.de,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,21.07.2025,No,Financial,No,Only focus on their local network,Mat 2,German,see here,True,True,False,False
Anant Ambani,not listed,india,private person,type 6: finanzielle spende,TBD,,,,,,,,Finance 3,German,see here,False,True,False,False
Andritz Hydro AG,welcome@andritz.com,austria,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,,,,,,7,Depending,not available,True,True,False,False
Apple Deutschland ,hanover.reception@euro.apple.com,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,,,,,,,,,True,True,False,False
Athletic Greens,support@athleticgreens.com,usa,for profit,type 3: financial donation,Robin E.,response,2025-07-23,,no,Financial,No,not suited,,,,False,True,False,False
Atlas VPN,support@atlasvpn.com,usa,for profit,type 3: financial donation,Robin E.,first outreach,2025-07-23,,,Financial,,,,,,True,True,False,False
Audi Umweltstiftung GmbH,info@audi-stiftung-fuer-umwelt.de,germany,for profit,type 6: finanzielle spende,Robin E.,first outreach,2025-07-23,,,Financial,,,,,,True,True,False,False
AW Niemeyer (A.W.N.),service@awn.de,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,,,Material/Financial,,,,,,True,True,False,False
AWS by Amazon,"https://aws.amazon.com/government-education/nonprofits/
",usa,small grants,type 7: grant,,,,,,,,2000 usd credit for cloud hosting,,,,False,True,False,False
B-Win,complaints@bwin.com,austria,for profit,type 6: finanzielle spende,TBD,,,,,,,,,,,False,True,False,False
Bavaria Yachts,info@bavariayachts.com / m.schlichting@bavariayachts.com ,germany,for profit,type 6: finanzielle spende,Robin E.,response,2025-07-11,17.07.2025,yes,Material/Financial,No,"Spare Parts for buying price, Help with search for Boat",,,,False,True,False,False
Beneteau,presse@beneteau-group.com,france,for profit,type 3: financial donation,Robin E.,first outreach,2025-07-11,,,Material/Financial,,,,,,True,True,False,False
Benevity ,help@benevity.com,canada,for profit,type 3: financial donation,Niclas K.,,,,,,,,,,,False,True,False,False
Bewegungsstiftung,info@bewegungsstiftung.de,germany,non profit,type 6: finanzielle spende,,,,,,,,,,,,False,True,False,False
Biohof Braun,karl.hoefer@gmx.at,austria,for profit,type 6: finanzielle spende,Robin E.,first outreach,2025-07-23,,,,,,,,,True,True,False,False
Blue Action Fund,info@blueactionfund.org,germany,non profit,type 7: grant,Niclas K.,,,,,,,,,,,False,True,False,False
Blum Novo Test GmbH,info@blum‑novotest.com,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,,,,,,,,,True,True,False,False
BMW Foundation,info@bmw-foundation.org,germany,non profit,type 6: finanzielle spende,Robin E.,first outreach,2025-07-11,,,Financial,,,,,,True,True,False,False
Boat 24 ,support@boat24.com,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,,,,,,,,,True,True,False,False
Bodan Ökofrisch GmbH,info@bodan.de,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,,,,,,,,,True,True,False,False
Bodensee Schifffahrt BSB, info@bsb.de,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,,,,,,,,,True,True,False,False
Booking.com ,glenn.fogel@booking.com  (CEO),usa,for profit,type 3: financial donation,Robin E.,first outreach,2025-07-23,,,,,,,,,True,True,False,False
Boot Düsseldorf,info@messe‑duesseldorf.de,germany,for profit,type 6: finanzielle spende,TBD,,,,,,,,,,,False,True,False,False
Boots Center Konstanz ,sina.degen@bootcenter.com (CEO),germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,,,,,,,,,True,True,False,False
Bootsschule 1,info@bootsschule1.de,germany,for profit,type 6: finanzielle spende,Niclas K.,,,,,,,,,,,False,True,False,False
Bosch foundation,presse@bosch-stiftung.de,germany,non profit,type 6: finanzielle spende,TBD,,,,,,,,,,,False,True,False,False
Breitling,contact@breitling.com,switzerland,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,,,,,,,,,True,True,False,False
BUND ,bund@bund.net,germany,non profit,type 6: finanzielle spende,TBD,,,,,,,,,,,False,True,False,False
