name,contact_information,location,type,outreach_type,responsible,current_status,first_outreach,follow_up,meeting,type_of_donation,recived,note,email_types,language,email_sample,is_contacted,has_contact_info,is_english,is_ideal_candidate,cluster
Action for Nature Youth Eco-Hero Award,Website,great britain,small grants,type 7: grant,Niclas K.,first outreach,2025-07-11,,,Financial,,Only for people under 16...,,,,True,True,False,False,2
AIMI Kids,partnership@amikids.org.,usa,non profit,type 2: material donation,TBD PA,first outreach,2025-07-21,,,Material/Financial,,,Werft 1,English,see here,True,True,True,False,2
Airbnb,contact.press@airbnb.com,usa,for profit,type 3: financial donation,TBD,,,,,,,,Mat 2,English,see here,False,True,True,False,1
Aldi Süd - Regionalgesellschaft Mühldorf/Karlsdorf,,germany,for profit,type 6: finanzielle spende,TBD,,,,,,,,finance 3,English,see here,False,False,True,False,2
Allbirds (shoes),,usa,for profit,type 3: financial donation,TBD,,,,,,,,Werft 1,German,see here,False,False,False,False,1
Allgäuer Überlandwerk,Daniel.Flasche@auew.de,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,21.07.2025,No,Financial,No,Only focus on their local network,Mat 2,German,see here,True,True,False,False,2
Anant Ambani,not listed,india,private person,type 6: finanzielle spende,TBD,,,,,,,,Finance 3,German,see here,False,True,False,False,2
Andritz Hydro AG,welcome@andritz.com,austria,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,,,,,,7,Depending,not available,True,True,False,False,2
Apple Deutschland ,hanover.reception@euro.apple.com,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,,,,,,,,,True,True,False,False,2
Athletic Greens,support@athleticgreens.com,usa,for profit,type 3: financial donation,Robin E.,response,2025-07-23,,no,Financial,No,not suited,,,,False,True,False,False,1
Atlas VPN,support@atlasvpn.com,usa,for profit,type 3: financial donation,Robin E.,first outreach,2025-07-23,,,Financial,,,,,,True,True,False,False,1
Audi Umweltstiftung GmbH,info@audi-stiftung-fuer-umwelt.de,germany,for profit,type 6: finanzielle spende,Robin E.,first outreach,2025-07-23,,,Financial,,,,,,True,True,False,False,2
AW Niemeyer (A.W.N.),service@awn.de,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,,,Material/Financial,,,,,,True,True,False,False,2
AWS by Amazon,"https://aws.amazon.com/government-education/nonprofits/
",usa,small grants,type 7: grant,,,,,,,,2000 usd credit for cloud hosting,,,,False,True,False,False,2
B-Win,complaints@bwin.com,austria,for profit,type 6: finanzielle spende,TBD,,,,,,,,,,,False,True,False,False,2
Bavaria Yachts,info@bavariayachts.com / m.schlichting@bavariayachts.com ,germany,for profit,type 6: finanzielle spende,Robin E.,response,2025-07-11,17.07.2025,yes,Material/Financial,No,"Spare Parts for buying price, Help with search for Boat",,,,False,True,False,False,2
Beneteau,presse@beneteau-group.com,france,for profit,type 3: financial donation,Robin E.,first outreach,2025-07-11,,,Material/Financial,,,,,,True,True,False,False,1
Benevity ,help@benevity.com,canada,for profit,type 3: financial donation,Niclas K.,,,,,,,,,,,False,True,False,False,1
Bewegungsstiftung,info@bewegungsstiftung.de,germany,non profit,type 6: finanzielle spende,,,,,,,,,,,,False,True,False,False,2
Biohof Braun,karl.hoefer@gmx.at,austria,for profit,type 6: finanzielle spende,Robin E.,first outreach,2025-07-23,,,,,,,,,True,True,False,False,2
Blue Action Fund,info@blueactionfund.org,germany,non profit,type 7: grant,Niclas K.,,,,,,,,,,,False,True,False,False,2
Blum Novo Test GmbH,info@blum‑novotest.com,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,,,,,,,,,True,True,False,False,2
BMW Foundation,info@bmw-foundation.org,germany,non profit,type 6: finanzielle spende,Robin E.,first outreach,2025-07-11,,,Financial,,,,,,True,True,False,False,2
Boat 24 ,support@boat24.com,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,,,,,,,,,True,True,False,False,2
Bodan Ökofrisch GmbH,info@bodan.de,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,,,,,,,,,True,True,False,False,2
Bodensee Schifffahrt BSB, info@bsb.de,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,,,,,,,,,True,True,False,False,2
Booking.com ,glenn.fogel@booking.com  (CEO),usa,for profit,type 3: financial donation,Robin E.,first outreach,2025-07-23,,,,,,,,,True,True,False,False,1
Boot Düsseldorf,info@messe‑duesseldorf.de,germany,for profit,type 6: finanzielle spende,TBD,,,,,,,,,,,False,True,False,False,2
Boots Center Konstanz ,sina.degen@bootcenter.com (CEO),germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,,,,,,,,,True,True,False,False,2
Bootsschule 1,info@bootsschule1.de,germany,for profit,type 6: finanzielle spende,Niclas K.,,,,,,,,,,,False,True,False,False,2
Bosch foundation,presse@bosch-stiftung.de,germany,non profit,type 6: finanzielle spende,TBD,,,,,,,,,,,False,True,False,False,2
Breitling,contact@breitling.com,switzerland,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,,,,,,,,,True,True,False,False,2
BUND ,bund@bund.net,germany,non profit,type 6: finanzielle spende,TBD,,,,,,,,,,,False,True,False,False,2
Canva for Non Profits,Webform https://www.canva.com/canva-for-nonprofits/,usa,for profit,type 2: material donation,,,,,,,,,,,,False,True,False,False,2
CHG ,info@chg‑meridian.com,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,,,,,,,,,True,True,False,False,2
CHT Germany GmbH,annegret.vester@cht.com (Chief Sustainability Officer),germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,,,,,,,,,True,True,False,False,2
Coca Cola ,asktheboard@coca-cola.com,usa,for profit,type 3: financial donation,,,,,,,,,,,,False,True,False,False,1
Commerzbank Stiftung,info@commerzbank.com,germany,for profit,type 6: finanzielle spende,TBD,,,,,,,,,,,False,True,False,False,2
Cosas de Barcos,info@cosasdebarcos.com,spain,for profit,type 3: financial donation,TBD,,,,,,,,,,,False,True,False,False,1
Cyber Ghost,office@cyberghost.ro,romania,for profit,type 3: financial donation,TBD,,,,,,,,,,,False,True,False,False,1
Dafour Yachts,Laurent.fabre@dufour-yachts.com,fance,for profit,type 3: financial donation,TBD,,,,,,,,,,,False,True,False,False,1
Danone,danone.com/contact.,france,for profit,type 3: financial donation,TBD,,,,,,,,,,,False,True,False,False,1
Decathlon,contacts@decathlon.com,france,for profit,type 3: financial donation,TBD,,,,,,,,,,,False,True,False,False,1
Deutsche Bank ,deutsche.bank@db.com,germany,for profit,type 6: finanzielle spende,Niclas K.,first outreach,2025-07-21,22.07.2025,no,Financial,No,only fund their own initiatives,,,,True,True,False,False,2
Deutsche Postcode Lotterie,presse@postcode-lotterie.de,germany,for profit,type 6: finanzielle spende,TBD,,,,,Financial,,,,,,False,True,False,False,2
Deutsche Stiftung Umwelt (DBU),info@dbu.de,germany,non profit,type 6: finanzielle spende,TBD,,,,,,,,,,,False,True,False,False,2
Deutsche Umwelthilfe (DUH),info@duh.de,germany,non profit,type 6: finanzielle spende,TBD,,,,,,,,,,,False,True,False,False,2
Deutscher Segler Verband,Nicole Buck/info@dsv.org,germany,non profit,type 6: finanzielle spende,Niclas K.,,,,,,,Personal contact,,,,False,True,False,False,2
